energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.747,0.151,97.878,0.0584,0.0728,0.0,4,0.564,5,165767,-3.374,0.717,1,audio_features,spotify:track:6GIRtKNXokeu25nn7U6Hu8
0.499,0.0761,88.825,0.0421,0.0406,9.44e-05,4,0.723,11,273173,-13.082,0.828,0,audio_features,spotify:track:7j74lucZ59vqN67Ipe2ZcY
0.588,0.137,104.954,0.059,0.209,0.000135,4,0.627,4,294857,-4.861,0.0505,0,audio_features,spotify:track:5eB7FCmbmOckoh5CE1Y2q3
0.483,0.184,131.07,0.0799,0.625,0.0333,4,0.432,1,200267,-10.613,0.108,0,audio_features,spotify:track:5fqMnSFo83YEsOBALMAYau
0.463,0.14,80.922,0.0391,0.679,1.3e-06,4,0.551,11,221707,-9.683,0.186,1,audio_features,spotify:track:35AG36QH9ytiNtPyx9xwr8
0.859,0.151,77.92,0.0805,0.541,3.01e-06,4,0.421,11,196907,-5.306,0.468,0,audio_features,spotify:track:1OfA2pIJafysuWz5WlBEZQ
0.671,0.0751,87.841,0.037,0.00737,0.113,4,0.413,4,232280,-6.935,0.196,0,audio_features,spotify:track:5ky71GXSi2Rt2sgmbVGuqK
0.604,0.076,82.01,0.0424,0.22,3.31e-05,4,0.683,2,218116,-7.386,0.551,1,audio_features,spotify:track:0hCiUcA4R1IQ1aJTyUkJbb
0.717,0.243,107.884,0.0318,0.0298,0.000186,4,0.581,4,236440,-4.433,0.316,1,audio_features,spotify:track:7GAaTpSoTWUTbP2Yxlt4Hd
0.782,0.156,121.908,0.0897,0.269,0.0,4,0.585,1,169303,-4.101,0.521,0,audio_features,spotify:track:33CfD8UkDEcSdAP9j4QpUY
0.754,0.358,108.17,0.0432,0.143,0.0,4,0.402,8,191248,-4.837,0.621,1,audio_features,spotify:track:0uxDHazXSSu9bSZ28LsnAN
0.678,0.101,103.952,0.0324,0.0154,6.05e-06,4,0.693,8,228267,-7.159,0.404,1,audio_features,spotify:track:6oJ6le65B3SEqPwMRNXWjY
0.362,0.0732,111.057,0.0284,0.742,0.0,4,0.573,7,224280,-6.484,0.207,0,audio_features,spotify:track:2qcQnxZQIxEI6WdFNrsGu3
0.255,0.0986,110.015,0.0322,0.792,2.07e-06,4,0.565,7,216573,-12.151,0.121,1,audio_features,spotify:track:6cRExfWfj87zhACU30aW7l
0.6,0.199,163.971,0.0634,0.708,0.0,4,0.393,2,172707,-7.136,0.237,0,audio_features,spotify:track:0ZyOaabrLGU0rDLhnVALSQ
0.397,0.105,114.769,0.0386,0.834,0.0411,4,0.431,4,212680,-12.713,0.167,0,audio_features,spotify:track:48BEYwb2HXiBXOJ7q02UoC
0.783,0.631,105.39,0.0457,0.416,1.54e-06,4,0.554,6,162467,-5.852,0.813,1,audio_features,spotify:track:4w3tQBXhn5345eUXDGBWZG
0.877,0.171,155.165,0.16,0.00952,0.0,4,0.588,8,326187,-4.78,0.645,1,audio_features,spotify:track:0JmGVy7IzUM27My3UuEOOZ
0.705,0.613,138.559,0.177,0.00836,0.00233,4,0.818,6,222640,-6.679,0.772,1,audio_features,spotify:track:0d28khcov6AiegSCpG5TuT
0.451,0.0924,178.061,0.0949,0.388,2.17e-05,4,0.804,6,251293,-8.207,0.19,1,audio_features,spotify:track:36c4JohayB9qd64eidQMBi
0.507,0.108,165.76,0.0316,0.473,0.0,4,0.451,11,187027,-6.24,0.564,1,audio_features,spotify:track:1T7AiFL9ruKKwlONN35Vh0
0.649,0.172,88.011,0.218,0.333,0.0,4,0.747,8,200733,-6.218,0.84,1,audio_features,spotify:track:2qRN7PWiHRLprw4FpDeI9N
0.435,0.0981,78.797,0.0497,0.00956,0.0,4,0.238,5,277030,-8.096,0.0447,1,audio_features,spotify:track:6ucmgsair6pvRYfwgvI6e0
0.248,0.0967,80.187,0.0343,0.944,0.00365,5,0.258,3,219992,-9.507,0.369,1,audio_features,spotify:track:1nywz2hyM3E46PxLgscU9j
0.732,0.597,67.295,0.0891,0.0846,0.0,3,0.647,2,222529,-5.846,0.548,1,audio_features,spotify:track:6tgEc2O1uFHcZDKPoo6PC8
0.602,0.279,119.703,0.23,0.049,0.0,5,0.603,6,248472,-7.083,0.595,1,audio_features,spotify:track:0B3FovCVaGKS5w1FTidEUP
0.696,0.0736,118.742,0.177,0.2,0.0275,4,0.672,4,162354,-6.693,0.642,0,audio_features,spotify:track:65kk9CAAqFI3LWBEhUwVqd
0.663,0.198,180.025,0.266,0.0529,0.0,4,0.739,10,127040,-6.398,0.368,0,audio_features,spotify:track:1R2mapMAUiYqre6jcFX57g
0.931,0.246,104.05,0.0469,0.0025,0.0783,4,0.495,2,244293,-5.336,0.617,0,audio_features,spotify:track:53L6A3I9vf7rgEZnMzx54E
0.463,0.105,103.961,0.162,0.236,0.00531,4,0.802,8,287040,-8.379,0.291,1,audio_features,spotify:track:39NDBdU5Xkm5pCFGa5kZtI
0.703,0.143,77.021,0.0969,0.00694,0.0,4,0.752,1,155134,-5.268,0.538,1,audio_features,spotify:track:12iDo4Kdw9vA2X1lN3UTVu
0.703,0.0964,94.858,0.102,0.0218,0.0,4,0.541,0,215724,-5.573,0.238,1,audio_features,spotify:track:1E3ghCAkxEdT5KHVBwArr3
0.7,0.11,176.044,0.341,0.136,0.000159,4,0.746,0,225933,-4.669,0.619,1,audio_features,spotify:track:1Ej96GIBCTvgH7tNX1r3qr
