energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,genre
0.521,0.10800000000000001,97.245,0.0273,0.276,0.0534,4,0.561,9,177227,-6.934,0.245,0,audio_features,spotify:track:2Y4Wq7jGZXNblLdM1StZsd,alternative dance art pop electronica electropop
0.524,0.157,175.562,0.10300000000000001,0.607,0.0,4,0.397,3,218854,-5.846,0.34299999999999997,1,audio_features,spotify:track:3BeYDqr0sZU5883sl02De3,australian pop nz pop
0.484,0.193,124.014,0.0298,0.196,0.0179,4,0.616,2,238893,-9.318,0.306,0,audio_features,spotify:track:2ZTvGAZD0DLePVY3e65lxW,indie anthem-folk indie cafe pop indiecoustica
0.508,0.139,99.06299999999999,0.0987,0.193,0.0,4,0.685,0,217287,-6.4,0.315,1,audio_features,spotify:track:5sIx4BlfYGuZeSLF40N9GH,edm pop tropical house
0.708,0.11599999999999999,94.478,0.0483,0.0891,0.0471,4,0.7140000000000001,10,225600,-6.2860000000000005,0.601,0,audio_features,spotify:track:6R1y3I91AIktu7qoKIugtH,english indie rock modern alternative rock modern rock north east england indie rock
0.69,0.14300000000000002,106.03399999999999,0.1,0.282,0.001,4,0.799,7,352442,-7.252000000000001,0.682,1,audio_features,spotify:track:0GmiGIxXDNrePrHBpijYDp,reggaeton flow
0.63,0.17,118.62799999999999,0.031,0.447,0.039,4,0.634,1,270773,-8.277000000000001,0.489,0,audio_features,spotify:track:6H3kDe7CGoWYBabAeVWGiD,album rock british invasion classic rock rock
0.8759999999999999,0.0729,123.994,0.0987,0.0539,4.45e-06,4,0.653,8,217867,-4.501,0.706,1,audio_features,spotify:track:7p9PpkZW3SQqUhR5VOhHOC,
0.321,0.114,145.045,0.0931,0.693,0.0307,4,0.64,0,210376,-14.604000000000001,0.177,1,audio_features,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4,electropop pop
0.318,0.0795,119.959,0.0478,0.8959999999999999,0.0023899999999999998,4,0.614,7,180933,-12.695,0.11199999999999999,1,audio_features,spotify:track:04sN26COy28wTXYj3dMoiZ,electropop pop
0.7190000000000001,0.106,82.914,0.0595,0.495,0.0,4,0.56,1,189187,-6.803,0.7120000000000001,0,audio_features,spotify:track:0uQVkqWdjmjI2PyBeXHJDS,modern rock neo mellow piano rock pop rock rock
0.889,0.0789,115.036,0.0386,0.0209,0.0,4,0.516,0,312093,-4.237,0.45299999999999996,0,audio_features,spotify:track:36DrLw8kpZY9QJIxutgfRy,modern rock neo mellow piano rock pop rock rock
0.7809999999999999,0.11900000000000001,143.971,0.0544,0.0168,0.0,4,0.508,0,246160,-6.919,0.35,1,audio_features,spotify:track:18mAggfWhdX9vcR4B5DwY3,modern rock neo mellow piano rock pop rock rock
0.483,0.115,120.19,0.0301,0.701,7.99e-06,4,0.675,0,197701,-8.095,0.358,0,audio_features,spotify:track:0lUt61v9PK6Qrl0GjkTXAw,indie r&b uk contemporary r&b
0.8390000000000001,0.10800000000000001,94.015,0.0287,0.0014,0.000365,4,0.517,0,215880,-3.5210000000000004,0.41600000000000004,1,audio_features,spotify:track:0yac0FPhLRH9i9lOng3f81,modern rock neo mellow piano rock pop rock rock
0.825,0.0618,121.949,0.111,0.0895,1.86e-05,4,0.6940000000000001,1,208067,-5.986000000000001,0.7879999999999999,1,audio_features,spotify:track:1FKxKGONukVFXWVJxAKmlz,dance pop pop post-teen pop r&b
0.747,0.138,150.088,0.0736,0.027999999999999997,0.00615,4,0.662,11,234147,-6.926,0.48700000000000004,0,audio_features,spotify:track:214nt20w5wOxJnY462klLw,pop
0.858,0.364,95.04899999999999,0.0483,0.0826,0.0,4,0.742,10,194742,-4.946000000000001,0.64,1,audio_features,spotify:track:0JcNysfWVWaMS7R6vzGB2k,champeta colombian pop latin latin pop tropical vallenato
